species,Bacteroides_uniformis,Prevotella_stercorea,Bacteroides_vulgatus,Bacteroides_stercoris,Bacteroides_thetaiotaomicron,Alistipes_finegoldii,Alistipes_putredinis,Akkermansia_muciniphila,Bacteroides_fragilis,Faecalibacterium_prausnitzii,Porphyromonas_asaccharolytica,Acidaminococcus_intestini,Bacteroides_ovatus,Bacteroides_cellulosilyticus,Parabacteroides_distasonis,Alistipes_onderdonkii,Parabacteroides_merdae,Collinsella_aerofaciens,Bacteroides_caccae,Bacteroides_massiliensis
Porphyromonas_asaccharolytica,-0.4472135954999579,0.7905694150420948,-0.7826237921249264,0.22360679774997896,-0.6708203932499368,-0.2867696673382022,-0.6249999999999999,-0.6708203932499368,-0.3952847075210474,0.7826237921249264,0.9999999999999999,0.3952847075210474,-0.516185401208764,-0.3952847075210474,-0.2867696673382022,0.3952847075210474,-0.6249999999999999,0.6708203932499368,-0.6249999999999999,-0.3952847075210474
Acidaminococcus_intestini,0.35355339059327373,-0.25,-0.7071067811865475,0.35355339059327373,0.0,0.36273812505500586,-0.3952847075210474,0.0,-0.25,0.7071067811865475,0.3952847075210474,1.0,0.0,-0.25,0.36273812505500586,1.0,-0.3952847075210474,0.0,-0.3952847075210474,-0.25
Bacteroides_ovatus,-0.10259783520851543,-0.5441071875825088,0.5642880936468347,0.30779350562554625,0.10259783520851543,0.8947368421052632,0.8029550685469662,0.46169025843831935,-0.5441071875825088,-0.5642880936468347,-0.516185401208764,0.0,1.0,0.7254762501100117,0.8947368421052632,0.0,0.9176629354822471,-0.10259783520851543,-0.2867696673382022,0.7254762501100117
Bacteroides_cellulosilyticus,0.0,-0.25,0.35355339059327373,-0.35355339059327373,0.35355339059327373,0.7254762501100117,0.3952847075210474,0.7071067811865475,-0.25,-0.35355339059327373,-0.3952847075210474,-0.25,0.7254762501100117,1.0,0.7254762501100117,-0.25,0.7905694150420948,-0.35355339059327373,-0.3952847075210474,1.0
Parabacteroides_distasonis,0.10259783520851543,-0.5441071875825088,0.15389675281277312,0.20519567041703085,0.20519567041703085,1.0,0.45883146774112354,0.5642880936468347,-0.5441071875825088,-0.15389675281277312,-0.2867696673382022,0.36273812505500586,0.8947368421052632,0.7254762501100117,1.0,0.36273812505500586,0.6882472016116853,-0.20519567041703085,-0.516185401208764,0.7254762501100117
Alistipes_onderdonkii,0.35355339059327373,-0.25,-0.7071067811865475,0.35355339059327373,0.0,0.36273812505500586,-0.3952847075210474,0.0,-0.25,0.7071067811865475,0.3952847075210474,1.0,0.0,-0.25,0.36273812505500586,1.0,-0.3952847075210474,0.0,-0.3952847075210474,-0.25
Parabacteroides_merdae,-0.22360679774997896,-0.3952847075210474,0.7826237921249264,0.11180339887498948,0.11180339887498948,0.6882472016116853,0.8749999999999999,0.4472135954999579,-0.3952847075210474,-0.7826237921249264,-0.6249999999999999,-0.3952847075210474,0.9176629354822471,0.7905694150420948,0.6882472016116853,-0.3952847075210474,0.9999999999999999,-0.11180339887498948,-0.12499999999999999,0.7905694150420948
Collinsella_aerofaciens,-0.8999999999999998,0.7071067811865475,-0.09999999999999999,0.7,-0.9999999999999999,-0.20519567041703082,0.11180339887498947,-0.8999999999999998,-0.7071067811865475,0.09999999999999999,0.6708203932499368,0.0,-0.10259783520851541,-0.35355339059327373,-0.20519567041703082,0.0,-0.11180339887498947,0.9999999999999999,-0.44721359549995787,-0.35355339059327373
Bacteroides_caccae,0.4472135954999579,-0.3952847075210474,0.4472135954999579,-0.22360679774997896,0.4472135954999579,-0.516185401208764,0.12499999999999999,0.11180339887498948,0.7905694150420948,-0.4472135954999579,-0.6249999999999999,-0.3952847075210474,-0.2867696673382022,-0.3952847075210474,-0.516185401208764,-0.3952847075210474,-0.12499999999999999,-0.4472135954999579,0.9999999999999999,-0.3952847075210474
Bacteroides_massiliensis,0.0,-0.25,0.35355339059327373,-0.35355339059327373,0.35355339059327373,0.7254762501100117,0.3952847075210474,0.7071067811865475,-0.25,-0.35355339059327373,-0.3952847075210474,-0.25,0.7254762501100117,1.0,0.7254762501100117,-0.25,0.7905694150420948,-0.35355339059327373,-0.3952847075210474,1.0
